iteration,validation,sex,randomized_weights,randomized_images
0,0.923227857515658,0.923227857515658,0.923227857515658,0.923227857515658
1,0.8918724171428442,0.9211472681643819,0.921712942063684,0.9236196334899591
2,0.8643440223125923,0.9203853851693657,0.9224733864589125,0.9236059675385907
3,0.8373223240166467,0.917418844515695,0.9230654590562888,0.9233637045843367
4,0.8126129335364121,0.9171623177281999,0.9211138520148702,0.9237881781288378
5,0.784334396441819,0.9161861472936165,0.9215553035815722,0.923921630190907
6,0.7642587993395105,0.915269673492814,0.9219012164932701,0.9240517857677005
7,0.7434500236227517,0.9144258086019369,0.9216647740445705,0.9249098876448414
8,0.7219665311665774,0.913197692289233,0.9220492766707327,0.925231861483329
9,0.7027891547203313,0.9127787267303168,0.9224106313540194,0.9252254307145614
10,0.6870744185121672,0.9118586540657693,0.9227414786317901,0.9254083892248867
11,0.673498062397468,0.911401698571904,0.9218876970648019,0.9251400366705494
12,0.6593202556442617,0.9111867850035864,0.9199371801102086,0.9254731804070244
13,0.6453970676221902,0.9107351069161688,0.9195561478058332,0.9258041223802745
14,0.6320024334625312,0.9105228012688225,0.9190008306801941,0.9255453789283936
15,0.6200371096396745,0.9096637713510956,0.9197509665516572,0.9260745731052128
16,0.6083385725204282,0.9097787913922726,0.9187873750302886,0.925674869148119
17,0.5977794605779747,0.9106440797977009,0.9190071885608183,0.9258853626400544
18,0.5868588762828353,0.910197727242193,0.918701863441313,0.9259422525359096
19,0.5743966477540067,0.9094755922702757,0.9192405580416602,0.9262773181177629
20,0.5636642582730113,0.90886504587276,0.919660377259792,0.9265666116876742
