thresholds,test,sex,randomized_images,randomized_weights
0.0,0.9974083227793228,0.9974083227793228,0.9706592595514038,0.8474347162095646
0.01,0.9873458345181024,0.9873907310316387,0.9603567652103838,0.8371795946453744
0.02,0.9775264918739589,0.9772202080154542,0.9498181241171387,0.8278419862350348
0.03,0.9678189445446531,0.9670846576755182,0.9392588221182958,0.8190434862941599
0.04,0.9583472779729947,0.9569382858596353,0.928474527628339,0.8106548920269083
0.05,0.9490017062776461,0.9468362239163057,0.9173976811948329,0.802524529365988
0.06,0.9397231805630957,0.9367565074750589,0.9062916197648255,0.7945812910402721
0.07,0.9307162794100683,0.9267600755602484,0.8951287978313728,0.7867634934453962
0.08,0.9220387305724591,0.917104288038316,0.8838338139257588,0.779359063223561
0.09,0.9134421437095345,0.9075996210711915,0.8724029986403589,0.7723457173677335
0.1,0.9048285659412184,0.898313858310444,0.860920643327242,0.7656059146321795
0.11,0.896384297170345,0.8892975973103341,0.8492658114057995,0.7591430977177044
0.12,0.8879797342063214,0.880545617522117,0.8375195116673049,0.7527261331577823
0.13,0.8796251444372121,0.8720765655984619,0.825726983510212,0.746598047322685
0.14,0.8712673234475894,0.8637375258416069,0.8140692883888997,0.7403049736438226
0.15,0.8630850607466091,0.855238146268939,0.8024810425283698,0.7340291144103898
0.16,0.8550825797748552,0.8465151220691243,0.7910437449820276,0.7275364910174512
0.17,0.8471551224588357,0.8377684463424655,0.7796679547294305,0.7210369249601782
0.18,0.8393581002519163,0.8287166522066015,0.7682300353821837,0.7145730472449157
0.19,0.8315315400759558,0.8194424309101822,0.7566589804854467,0.7080677110419016
0.2,0.8237517302307843,0.8101033131261584,0.7450482288843691,0.7016264151657811
0.21,0.8161108639487608,0.8007435013956281,0.733530982464048,0.6952603365977008
0.22,0.8085001904744484,0.7914830660652622,0.7218287502374677,0.6890366050595305
0.23,0.8009074796878909,0.7822711507118948,0.7101918156836733,0.682910737789696
0.24,0.7933008087347104,0.7732640290309841,0.6984987413832663,0.6768008110858362
0.25,0.7857807349320063,0.7642549511461066,0.6866806445239578,0.6707893497960186
0.26,0.7783483883310699,0.7550909102369164,0.6748312019759344,0.6648689813144764
0.27,0.7710518877994365,0.7458702038288186,0.6629393384275373,0.6588898599811717
0.28,0.7639729351547281,0.7367206053160258,0.6514435915303662,0.6529859723654414
0.29,0.7568310772715803,0.7276878268500782,0.639900710863241,0.6472603515926194
0.3,0.7498484118619334,0.7187923432606089,0.6281474136133913,0.6412623486117446
0.31,0.7431513467473917,0.7097842675219513,0.6162832000039193,0.6354063537342856
0.32,0.7366118657567343,0.7008520730495886,0.6041890378088876,0.629658983130124
0.33,0.7301528801025725,0.6917905518434024,0.5917277144816503,0.6239460259810717
0.34,0.7237243154528811,0.6827387870957442,0.5795011074218391,0.6182304432903588
0.35,0.717374007264408,0.6735596232300656,0.5675854190034204,0.6122124827731168
0.36,0.7111719483142896,0.6643382575171363,0.555987805447053,0.6062877838441187
0.37,0.7050487982266275,0.6551983938611352,0.5447577891883021,0.6002448134899847
0.38,0.6989010249842682,0.6459657783941708,0.5336601178005297,0.5940896592192388
0.39,0.6927204891838464,0.6369168284010893,0.5227709987613965,0.5879465373360845
0.4,0.6866625785891743,0.628089665166333,0.5116816067280046,0.5820585797646544
0.41,0.6805729166666667,0.6192113095238095,0.5002941249496263,0.5762292543852378
0.42,0.6746122901560678,0.6104632460907342,0.4884464628311922,0.5700624537581059
0.43,0.6685634932286565,0.601953785911466,0.47584084438059004,0.5639989194383737
0.44,0.6626301960209832,0.5933886216798453,0.463146456859278,0.5577202744009804
0.45,0.6565506507500212,0.5850973506068512,0.45034466014941926,0.551258890138909
0.46,0.6505511233323273,0.5764657584080985,0.4375875129117411,0.5448249668398202
0.47,0.6445571135271578,0.5680530347660161,0.42489005305730637,0.5385221263120671
0.48,0.6387353338606118,0.5594873967625671,0.41203771673443074,0.5322957151222236
0.49,0.6329606954949915,0.550850539589632,0.39922048997772835,0.5260627118633582
0.5,0.6274141613238131,0.5419727695552828,0.38679903316862646,0.5199177089775466
