x,y,c
0.20347894615129034,-0.2080158372902235,2.0
0.3748014784790277,0.31066072985385795,1.0
0.24942940941520128,0.2888219346313058,1.0
-0.056540472643525644,-0.06550841318423448,0.0
0.004378423963099439,-0.04685756545186985,0.0
0.22319719711303612,-0.27984501574085485,2.0
0.024792649756407645,0.052339411904719295,0.0
0.007902081361017785,0.03146717499230906,0.0
0.029406759619546835,0.0652568922939254,0.0
0.3552372202265559,0.303668679767895,1.0
0.32341594941493523,0.20240675780350822,1.0
0.21958801871255088,-0.2346353351286563,2.0
0.17602333169084178,-0.34290230342114625,2.0
0.1638644485710382,-0.28302895260070976,2.0
-0.03137151729309036,0.016671733311928907,0.0
-0.026162960646932028,0.016952930655380356,0.0
0.34931672086960575,0.21056064768495136,1.0
0.13540583042426602,-0.36581812002219033,2.0
0.3134973557949575,0.3594676767933177,1.0
0.20641514154455842,-0.3412580288578177,2.0
0.02676707578249789,-0.07224556974516026,0.0
0.07058375755552869,0.0642936729804766,0.0
0.3014398165523592,0.3119018693050812,1.0
0.2662490239182372,0.30130498300927727,1.0
0.22683313924595003,-0.33296612282867816,2.0
-0.025556427190357896,0.023730083778758643,0.0
0.3892383565796236,0.3009139732245666,1.0
-0.08718712526609597,0.026567050437087805,0.0
0.20237274986226392,-0.3706950098135072,2.0
0.35070455001585,0.23691508021981383,1.0
0.1970267945611073,-0.3570992353950631,2.0
0.3276326776752727,0.17665937471459325,1.0
0.23628399899469388,0.30423965910222595,1.0
0.14615884124558792,-0.28718822249431464,2.0
0.29956011953406403,0.2757813234042855,1.0
0.2929128431588686,0.3296130487958217,1.0
0.32456283771277067,0.330121483615761,1.0
0.17754365440931577,-0.25785545917655084,2.0
0.06879041527661929,0.044462167522331335,0.0
0.3039867061874399,0.2511618727876386,1.0
0.2389642283011983,0.32359648107373723,1.0
0.10792144136243026,-0.2746346719479507,2.0
0.2494540252648183,-0.3240298004789603,2.0
0.01590942162537463,-0.09620101243572968,0.0
0.2949125847225946,-0.2930046033663251,2.0
0.28345849679926927,0.290636667152246,1.0
0.16471556730941267,-0.31861326326238304,2.0
-0.06008377255654601,0.05359423415134976,0.0
0.08220023215800575,-0.0036540292652857548,0.0
0.2378873575761524,0.3360989311868285,1.0
0.005095402312805874,0.046288338324837086,0.0
0.15920475291334205,-0.3891897596875422,2.0
0.1341984847350676,-0.3084035568981494,2.0
0.01699858975215658,0.042722975013127905,0.0
0.12369497382910262,0.0457218990297282,0.0
-0.02673271934942417,-0.02709496071014065,0.0
0.2845512764116484,-0.4045089072254331,2.0
0.19505030092659728,-0.331231831822084,2.0
0.016415650310384552,0.07158778052487624,0.0
0.22628909521762064,0.3304879926595409,1.0
