y,yhat
25.12,28.351894352000002
12.92,16.33055746
19.8,24.3121234
12.15,9.921274135
14.77,20.351098754
17.36,19.087390524
13.28,16.05166088
19.16,25.449264
13.95,18.254409279999997
30.66,34.576739318
24.6,30.627056720000002
27.92,25.520984568000003
33.17,34.133413079490005
13.78,17.101935993999998
17.13,22.562631412
15.7,24.15873979
20.65,24.450954149999998
15.35,20.09492666
11.81,11.462026897000001
14.37,17.621738208
12.83,16.427772913
33.24,35.050135088000005
9.44,12.612513148
23.1,25.96011156
21.22,27.878687229999997
20.34,24.571704536
14.0,14.031222373
14.0,15.219751
16.0,19.9096522
17.0,18.464698
10.0,13.5868921
21.0,26.9882774
21.0,24.8901882
20.0,26.236809
13.0,18.5734334
14.0,18.803703
17.0,28.711672999999998
15.0,22.9295535
20.0,27.7398205
23.0,23.6873162
15.0,16.3162745
21.0,21.5777661
10.5,9.80143207
11.55,7.525314425000001
10.29,11.26574185248
11.45,15.42336701
9.15,10.5243543975
8.94,10.253399578
9.4,8.17866892
8.86,9.3029727142
9.69,9.2234369186
8.2,8.1179309752
10.08,8.680121904
9.69,10.073925576199999
11.99,12.97044168544
10.53,13.507512818999999
10.64,8.862021016
14.75,13.097045425000001
13.35,11.92790982
12.58,14.95809681
12.91,14.1590003424
14.98,27.332005619999997
15.28,24.27659536
15.53,22.219766014999998
13.88,14.780452460400001
13.77,18.316575001
12.08,12.7309645
16.05,19.56400315
14.86,14.734569670399999
14.1,16.778196519999998
8.67,9.1136188767
13.78,16.484327758
16.57,19.788361676
16.6,17.75513785
16.13,25.66215424
12.38,11.674438552000002
14.76,15.5205486652
16.88,21.996636748
12.9,12.9480119496
14.91,15.1137939615
19.83,21.607624406899998
20.33,25.99178283
20.08,22.53283552
21.33,25.505346820999996
19.08,22.884049624
25.66,25.35181804
12.25,8.568546225
15.91,21.545349403000003
17.5,21.30042125
14.41,22.62384978
14.66,20.584382554
19.33,20.285344408399997
19.66,23.427548122
17.1,23.22386976
16.1,21.15766277
17.2,25.97477652
10.4,15.263566879999999
10.2,19.4832774
11.0,13.3276048
17.8,18.461330128
14.3,21.242572600000003
11.8,10.30615142
13.5,22.2333558
18.0,20.1168354
16.1,19.825068010000003
18.2,16.65775316
12.6,16.85890372
13.8,22.016808400000002
18.2,20.53191696
17.3,27.574466700000002
18.9,25.4305576
15.6,26.414443999999996
19.2,24.81577748
18.9,34.087646299999996
12.4,16.934296080000003
16.8,16.087324428000002
15.5,23.3634572
13.1,26.2636254
14.0,19.5458326
10.9,17.46921584
17.2,17.92167483
9.5,15.5021855
9.8,11.082034156
10.4,10.472826636
13.9,14.309004018
18.3,27.919294800000003
11.2,16.01128352
9.8,19.7650388
10.8,16.4311483
15.6,19.06121422
8.2,11.414456739999999
10.8,12.00428578
17.9,29.854447899999997
14.8,20.34080248
12.8,26.119577800000002
12.2,11.461502679999999
10.2,21.0514257
17.2,21.594766999999997
9.7,21.7609965
11.6,19.638055
9.2,24.8642112
11.5,16.04326695
11.6,17.6567752
14.3,16.80953967
17.4,25.38154208
16.5,23.17816735
28.8,35.8986882
14.4,15.293796212
17.8,22.792749800000003
17.8,24.90203778
14.0,19.666958
26.8,25.36466986
14.5,15.9103496
17.2,28.4864642
13.8,27.7026972
17.6,26.9633076
14.8,19.9059826
13.3,18.84445426
14.9,14.44544698
15.8,17.36271682
15.4,18.57215484
14.8,14.120778860000001
14.1,18.70765897
17.9,23.25952603
16.6,22.662663600000002
13.6,19.0253788
15.8,22.610281620000002
15.5,21.924678749999998
15.92,15.7360167024
12.75,20.08077265
9.75,12.0475687
8.67,7.7927379638
14.42,21.343457468
10.67,14.163920225
14.25,20.01575575
13.75,18.8522726
12.25,12.22651344775
9.25,11.0315260875
13.33,16.369892059999998
10.83,14.347174934
13.92,20.248698016
7.66,8.7451256736
11.0,9.4813753
9.66,12.979500332
17.83,15.802430990999998
13.92,10.992048464
16.66,19.119320724
16.66,19.796225084
11.0,8.1894472
15.75,20.891775975
14.17,12.560197538
10.92,13.643959684
14.0,18.773454
8.42,12.362928574
15.25,15.2219317435
12.33,12.650798882
28.0,36.673342
21.0,24.7986703
27.0,35.480237
27.0,29.2446024
25.0,27.767678
20.0,26.551979
21.0,26.1207137
21.0,30.966048999999998
33.0,39.7077093
31.0,32.1007191
40.0,49.633108
25.0,33.773191
30.0,38.406901
23.0,28.9085526
24.0,24.64316344
23.0,30.252164999999998
22.0,28.8419385
21.0,25.2531843
22.0,25.7794116
22.0,29.298399
28.0,36.020997
21.0,26.948486
18.0,22.050245
29.0,32.2089312
22.0,27.778789500000002
22.0,24.0090783
25.0,32.0414
27.0,31.2955885
13.8,21.2672554
13.8,15.444817200000001
15.1,21.49391148
14.2,18.16823136
16.6,24.13797468
13.9,15.33800276
15.6,26.4030872
12.3,17.09615956
16.2,29.3005602
12.4,17.99751124
14.7,21.963990199999998
14.3,16.5030375
13.6,20.02025658
12.2,19.0839094
12.8,20.177891860000003
15.2,22.072927059999998
12.4,18.76675956
14.2,20.587474399999998
16.9,22.478305539999997
12.77,17.01458511
10.84,13.586954372000001
10.64,12.7306489
11.0,14.9186583
9.3,11.68590305
8.39,11.260396287
9.73,11.188332687900001
9.41,10.6040680445
9.82,10.383637395200001
9.3,11.24018135
10.18,14.583496126
10.4,11.483532052000001
8.07,12.108623093
10.37,12.688618906999999
8.75,11.2075943
10.82,17.62063112
10.25,10.958013655
9.31,10.9203671235
8.83,14.687982198
11.09,12.5873640574
8.43,10.995758817999999
11.85,15.62936699
12.76,15.640841516
9.97,12.767627927
10.79,15.034979156999999
8.46,11.038027612
9.73,10.765662821040001
9.97,15.569702064000001
11.79,15.278901923
9.71,15.268734340000002
8.87,13.252987659999999
11.17,10.5731244809
12.43,15.289473994
8.04,7.304623331999999
8.26,11.48431412
8.5,9.646428175
8.52,9.9232933996
8.9,9.288588883000001
8.91,10.496131815
10.86,7.690753619999999
11.56,7.699658704000001
11.56,18.977573460000002
12.1,11.64087006
12.44,18.746060999999997
13.22,20.700662114
13.25,13.4676671875
14.06,16.56222314
14.18,22.202574754
14.38,19.965547458
14.42,15.2442695748
15.95,17.77076309
17.31,21.238971558
21.58,23.528524267999998
22.11,24.978420413
22.76,25.020784036000002
22.74,32.13534652
27.03,26.912760296480002
27.76,30.176500540000003
29.13,25.35477208
7.26,11.277017482
10.52,8.857068263999999
18.59,21.97989425
23.65,27.348972394999997
31.78,23.39782213
8.15,9.1428754575
7.29,9.62006786
10.69,16.020188513
11.91,43.75053749
12.49,15.757079312
12.81,11.872257770000001
14.2,17.046255079999998
16.93,23.629741252
17.3,19.342831150000002
6.47,11.123243943999999
7.19,8.773165868
8.01,8.4159875279
8.82,8.6587367208
8.88,14.6948196
8.93,7.9684719389
9.23,9.277113648850001
9.81,9.7887158631
10.46,18.82829625
10.52,10.8920957304
10.73,9.443225256
10.76,12.7354293064
11.03,9.655158814
11.32,9.383630608
11.69,10.457889223999999
12.1,11.753148849999999
12.23,11.802271891
13.18,15.398483864
13.583,15.2954584259
13.628,13.89371793376
13.72,13.3278721676
14.36,22.505647732
14.425,19.481096162500002
14.653,16.8217090255
14.66,12.765202324
15.27,20.82259071
15.284,21.2274502416
15.42,18.561658645999998
15.53,24.45024579
15.71,13.080008709000001
16.13,19.699832984
16.28,25.749187640000002
16.55,26.24663985
19.228,23.488214331600002
22.38,24.3686890852
22.48,24.738714628
22.76,23.380352624
25.34,29.429877257999998
28.203,36.0201461452
29.02,30.01662035504
30.724,33.768549114
10.19,8.739134088
10.74,11.8835043716
11.92,17.743323288
12.07,13.4578776912
12.67,19.052745509
14.79,23.8313369
16.31,24.08325442
16.55,23.9869991
16.88,22.782055328
17.7,19.34746512
19.13,23.650012467
19.73,26.693464785
24.83,29.790843341
12.04,18.377505848
16.83,22.520194204
13.75,18.042152625
12.66,12.0105980596
13.25,16.4866909
12.66,15.67922836
19.5,21.1154309
15.75,23.4991478
15.91,23.707295357
14.91,21.169270159
20.02,21.8132900966
20.04,22.8916523
20.3,29.0177436
20.56,27.6434968
22.77,24.709288606
23.08,27.801208319999997
23.35,33.33455635
26.17,27.2917226219
30.08,34.90611292
30.78,35.474906424000004
21.15,25.84829911
12.81,14.2421047793
7.7502,16.66448169014
9.3149,11.97230254258
10.6927,18.94692617011
8.2656,11.36112828448
9.1068,15.29827365712
8.2464,17.068561694399996
8.3203,14.88764382222
8.3313,13.648733910810002
8.9747,12.43230554694
9.2081,13.9916584991
8.9363,12.58079398562
9.7201,17.02389231398
10.2218,14.74191364654
9.5202,12.823600820780001
12.3477,19.703451273189998
11.178,10.609957918000001
11.8816,12.91431350524
12.4298,14.8668181094
12.2546,14.218370267264
12.3833,12.3081010187902
14.88,13.832456392000001
12.36,10.65984962
10.99,10.077586418000001
14.44,16.615969575999998
14.8,13.119838940000001
15.04,16.052961708319998
13.38,9.078287552
11.55,8.865391435000001
11.07,11.05446172786
13.66,13.740968491
17.79,14.043982334999999
11.56,9.116339008
16.03,19.682793630000003
13.46,17.092307230000003
15.92,14.312020424
14.03,13.0906029348
11.25,13.246350275
17.78,19.3111604812
14.29,12.295825975
12.09,7.420068286
13.41,12.7112974935
10.96,10.323238484
15.74,12.862629582
13.85,13.1915534
12.01,11.2353887116
9.21,6.059643748000001
9.5,7.932251750000001
11.83,8.689294349
12.73,15.451504248
13.0,10.4772348
10.53,8.307286627
12.64,17.550074376
11.66,13.3983098424
12.15,9.426875155000001
9.79,11.2164517165
11.9,10.393235350000001
11.95,9.415993165
12.9,17.96878735
13.36,11.436749704
13.12,9.407458144
13.63,13.61340414028
12.66,9.014836018
23.0,24.9731092
